"date","close","volume","open","high","low"

"2017/05/19","34.6500","1565779.0000","37.5000","40.3124","32.9005"
"2017/05/18","37.5500","272974.0000","36.8500","37.8000","36.6000"
"2017/05/17","36.9000","281790.0000","38.5000","38.8000","36.8250"
"2017/05/16","38.6000","470291.0000","38.6500","39.1000","38.5000"
"2017/05/15","38.5000","318563.0000","37.9500","39.3500","37.9500"
"2017/05/12","38.0000","423833.0000","37.2000","38.0750","36.5500"
"2017/05/11","37.2500","332432.0000","38.4000","38.9550","37.2500"
"2017/05/10","38.5000","505996.0000","37.5500","38.8000","37.3500"
"2017/05/09","37.4500","905710.0000","37.1000","37.6500","36.8500"
"2017/05/08","36.9500","481865.0000","37.1500","37.5500","36.6750"
"2017/05/05","37.0500","470843.0000","37.1500","37.5500","36.6000"
"2017/05/04","37.2500","647405.0000","37.0000","37.8500","36.6500"
"2017/05/03","37.0000","1228221.0000","40.2500","40.3000","36.1500"
"2017/05/02","40.2000","245736.0000","40.4000","40.9000","39.6500"
"2017/05/01","40.2000","297857.0000","38.4000","40.3500","38.4000"
"2017/04/28","38.4000","102756.0000","39.0000","39.1454","38.3000"
"2017/04/27","38.8500","217820.0000","38.4500","39.1000","38.4000"
"2017/04/26","38.5500","107064.0000","38.3000","38.7000","38.0000"
"2017/04/25","38.4000","362958.0000","38.3500","39.0500","37.9400"
"2017/04/24","38.5000","384004.0000","38.0000","38.6000","37.5500"
"2017/04/21","37.7500","299495.0000","38.0000","38.2500","37.5500"
"2017/04/20","37.9000","259861.0000","38.3000","38.4500","37.7500"
"2017/04/19","38.2000","187143.0000","38.5500","38.6950","37.9000"
"2017/04/18","38.4500","122628.0000","37.9000","38.5000","37.8500"
"2017/04/17","37.9000","173884.0000","38.1500","38.3500","37.6000"
"2017/04/13","38.0500","327797.0000","37.0500","38.7000","36.8500"
"2017/04/12","37.2000","696253.0000","36.0500","37.4500","35.9500"
"2017/04/11","36.0000","388360.0000","36.3000","36.3500","35.6000"
"2017/04/10","36.4500","325528.0000","35.9500","36.6000","35.9500"
"2017/04/07","35.9500","313128.0000","34.5000","36.1000","34.2000"
"2017/04/06","34.5000","151774.0000","34.3000","34.5500","34.0550"
"2017/04/05","34.3500","362607.0000","34.3000","34.6750","33.9500"
