"date","close","volume","open","high","low"

"2017/05/19","36.9500","207497.0000","36.5500","37.2500","36.4000"
"2017/05/18","36.6000","314944.0000","36.9000","37.1500","36.3250"
"2017/05/17","36.9000","266552.0000","36.8000","37.1000","36.2500"
"2017/05/16","37.4000","285067.0000","37.3000","37.9500","37.0000"
"2017/05/15","37.3500","319124.0000","36.9000","37.6000","36.5740"
"2017/05/12","36.7000","311949.0000","35.9500","36.9000","35.7000"
"2017/05/11","36.1500","382903.0000","36.2000","36.5500","35.0000"
"2017/05/10","36.4000","796700.0000","34.9000","37.9000","34.7000"
"2017/05/09","34.7500","429990.0000","33.2500","35.0000","33.2500"
"2017/05/08","33.0500","254406.0000","32.7500","33.1500","32.7000"
"2017/05/05","32.9000","186250.0000","33.6000","33.6000","32.7500"
"2017/05/04","33.5000","214490.0000","33.8000","33.9500","33.0250"
"2017/05/03","33.7000","359389.0000","33.8000","34.5000","33.6000"
"2017/05/02","33.9500","245006.0000","33.0000","34.0500","32.8500"
"2017/05/01","33.0000","209002.0000","32.2500","33.0500","32.0500"
"2017/04/28","32.2000","159435.0000","32.6500","32.6500","32.1250"
"2017/04/27","32.6500","182904.0000","33.0000","33.1000","32.5500"
"2017/04/26","32.9000","292874.0000","33.0000","33.2750","32.7000"
"2017/04/25","33.2000","254408.0000","32.9500","33.5500","32.3000"
"2017/04/24","32.6500","235992.0000","32.1500","32.7250","31.9500"
"2017/04/21","31.6500","332952.0000","32.9500","33.1500","31.6000"
"2017/04/20","33.0500","275659.0000","33.0500","33.4000","31.5000"
"2017/04/19","32.8500","345187.0000","33.0500","33.4500","32.7500"
"2017/04/18","32.9000","616050.0000","31.6000","33.0000","31.3000"
"2017/04/17","31.8500","134685.0000","31.6000","31.9750","31.4500"
"2017/04/13","31.5500","187498.0000","31.9500","32.1000","31.5000"
"2017/04/12","32.0000","231278.0000","31.8000","32.1500","31.5250"
"2017/04/11","31.8500","310516.0000","31.3000","32.1500","31.3000"
"2017/04/10","31.4000","338874.0000","31.8000","32.2000","31.3000"
"2017/04/07","31.8500","457937.0000","31.9000","31.9500","31.5000"
"2017/04/06","32.0000","348360.0000","31.5000","32.1500","31.3000"
"2017/04/05","31.4500","553132.0000","31.9500","32.2000","30.9500"
"2017/04/04","31.7500","446926.0000","31.6000","33.0000","31.6000"
"2017/04/03","31.8000","724339.0000","33.0500","33.1000","31.4000"
"2017/03/31","33.1500","269484.0000","33.0000","33.2000","32.7500"
"2017/03/30","33.0500","254728.0000","32.3000","33.1500","31.7500"
"2017/03/29","32.3500","320813.0000","32.6000","32.9000","32.2000"
"2017/03/28","32.5500","399949.0000","32.7500","32.9000","32.4750"
"2017/03/27","32.9500","289241.0000","32.7500","33.2000","32.3500"
"2017/03/24","32.9000","264805.0000","33.1500","33.4500","32.7000"
"2017/03/23","33.0000","397010.0000","32.6500","33.8000","32.6500"
"2017/03/22","32.8000","428847.0000","32.6500","32.9000","32.1500"
"2017/03/21","32.7500","529090.0000","33.9000","34.2500","32.6500"
"2017/03/20","33.5500","374128.0000","34.0000","34.1000","33.3500"
"2017/03/17","34.0500","716660.0000","34.6000","34.8500","33.9500"
"2017/03/16","34.7500","616141.0000","34.0500","35.3750","34.0500"
"2017/03/15","34.0000","596921.0000","33.5000","34.5000","33.3000"
"2017/03/14","33.4500","390485.0000","32.8000","33.5500","32.6000"
"2017/03/13","32.8500","392414.0000","33.3000","33.7500","32.8000"
"2017/03/10","33.3500","533056.0000","33.5500","34.2000","33.2000"
"2017/03/09","33.4000","459248.0000","33.1500","33.5000","33.0500"
"2017/03/08","33.1000","406384.0000","33.5500","33.9500","33.1000"
"2017/03/07","33.5000","446890.0000","33.6500","34.0000","33.2000"
"2017/03/06","33.7000","889634.0000","34.4000","34.5500","33.6000"
"2017/03/03","34.7000","680504.0000","35.3000","35.7000","34.7000"
"2017/03/02","35.3500","930851.0000","35.8500","35.8500","34.7500"
"2017/03/01","35.9500","2680064.0000","37.3000","37.7000","34.8000"
"2017/02/28","40.8000","395378.0000","41.7500","41.9000","40.6000"
"2017/02/27","41.9000","376939.0000","41.1500","42.1250","40.9000"
"2017/02/24","41.2500","423917.0000","41.2000","41.6500","40.7000"
"2017/02/23","41.5000","270881.0000","42.0000","42.1000","41.0500"
"2017/02/22","41.8000","229476.0000","41.7500","41.8500","41.2000"
"2017/02/21","41.9000","560204.0000","42.2500","42.7000","41.7000"
"2017/02/17","42.1500","277034.0000","41.8000","42.2500","41.2000"
"2017/02/16","41.8500","351270.0000","41.8500","42.2500","41.1500"
"2017/02/15","41.9500","200950.0000","40.9500","42.0000","40.9000"
"2017/02/14","41.1500","395025.0000","40.4500","41.4000","40.3000"
"2017/02/13","40.4500","322799.0000","40.3000","40.8500","40.2500"
"2017/02/10","40.2000","310625.0000","40.3500","40.5500","40.0000"
"2017/02/09","40.2000","355176.0000","39.9500","40.5000","39.8500"
"2017/02/08","39.8500","414360.0000","39.9500","40.1500","39.3000"
"2017/02/07","40.1000","337570.0000","40.3500","40.6000","39.8000"
"2017/02/06","40.2000","304301.0000","40.0500","40.6000","39.5309"
"2017/02/03","40.0500","370225.0000","39.3500","40.1000","39.0750"
"2017/02/02","39.1500","286175.0000","40.0000","40.0000","38.6950"
"2017/02/01","40.0500","230838.0000","40.2000","40.8000","39.6000"
"2017/01/31","39.8000","288359.0000","38.7500","39.9000","38.7500"
"2017/01/30","38.9000","353860.0000","38.2500","39.0000","37.9000"
"2017/01/27","38.4000","380835.0000","37.4500","38.5500","37.4500"
"2017/01/26","37.6500","250702.0000","37.8000","38.2500","37.5000"
"2017/01/25","37.9000","243020.0000","38.1000","38.3500","37.4500"
"2017/01/24","37.8000","320432.0000","37.6500","38.1837","37.2000"
"2017/01/23","37.5000","378368.0000","37.4500","37.7000","37.1000"
"2017/01/20","37.5500","416804.0000","38.1000","38.3000","37.3500"
"2017/01/19","38.0000","303767.0000","38.9000","38.9000","37.9000"
"2017/01/18","38.8000","262719.0000","38.9500","39.2500","38.2000"
"2017/01/17","39.0000","236264.0000","39.3500","39.3500","38.8000"
"2017/01/13","39.6500","231481.0000","39.3000","40.0000","39.3000"
"2017/01/12","39.1500","241376.0000","39.5500","39.5500","38.4500"
"2017/01/11","39.7500","315181.0000","39.5500","39.8000","39.0300"
"2017/01/10","39.5500","275445.0000","39.1500","39.6500","38.6000"
"2017/01/09","39.0500","335859.0000","39.5000","39.6500","38.7500"
"2017/01/06","39.6500","222258.0000","40.7500","40.7500","39.6000"
"2017/01/05","40.4500","332641.0000","41.5000","41.7000","40.4000"
"2017/01/04","41.7500","455134.0000","40.4000","41.9000","40.3800"
"2017/01/03","40.4000","492977.0000","39.6500","40.7000","39.3836"
"2016/12/30","39.1000","403272.0000","38.7500","39.7000","38.4000"
"2016/12/29","38.6000","450441.0000","38.0000","38.7500","37.9250"
"2016/12/28","37.8500","340157.0000","37.1500","37.9000","36.9250"
"2016/12/27","37.1500","234950.0000","36.0500","37.6000","35.8500"
"2016/12/23","36.0500","159303.0000","35.7000","36.1500","35.7000"
"2016/12/22","35.7500","250058.0000","35.8500","36.1000","35.4000"
"2016/12/21","35.8500","203148.0000","35.8500","36.2500","35.3500"
"2016/12/20","36.0000","248482.0000","36.1500","36.2000","35.3000"
"2016/12/19","35.8500","311747.0000","36.1500","36.4000","35.2000"
"2016/12/16","36.0000","1245156.0000","36.1500","36.6500","35.6500"
"2016/12/15","36.0500","379058.0000","35.7000","36.6500","35.5000"
"2016/12/14","35.6500","331658.0000","36.3000","36.8000","35.5500"
"2016/12/13","36.5500","518414.0000","37.5500","37.5500","36.4000"
"2016/12/12","37.2000","312270.0000","38.5000","38.5000","36.7500"
"2016/12/09","38.3500","236616.0000","38.4500","38.9000","38.1000"
"2016/12/08","38.3000","384053.0000","37.2500","38.6000","37.1500"
"2016/12/07","37.1000","391554.0000","36.6000","37.2500","35.9500"
"2016/12/06","36.5000","275143.0000","35.7000","36.8500","34.9500"
"2016/12/05","35.6000","306121.0000","35.0500","35.8000","35.0500"
"2016/12/02","35.1500","247241.0000","35.7000","35.7500","34.9750"
"2016/12/01","35.8000","325253.0000","35.7500","36.7500","35.6000"
"2016/11/30","35.9500","453658.0000","35.1500","36.6000","34.9000"
"2016/11/29","34.8500","297164.0000","35.4500","35.8000","34.6800"
"2016/11/28","35.3000","393598.0000","35.0000","35.8500","34.5000"
"2016/11/25","35.2000","204095.0000","35.7500","36.1471","35.0750"
"2016/11/23","35.8000","510475.0000","35.3000","36.3000","35.0000"
"2016/11/22","35.3000","480605.0000","35.1500","35.3250","34.4500"
"2016/11/21","34.9500","325862.0000","34.6500","35.0000","34.5500"
"2016/11/18","34.3000","590540.0000","34.6500","34.8000","34.0500"
"2016/11/17","34.3500","371258.0000","33.9500","34.5000","33.7750"
"2016/11/16","33.8500","434466.0000","32.7000","33.9000","32.5000"
"2016/11/15","32.7500","401100.0000","31.9000","32.9000","31.6500"
"2016/11/14","32.2000","698351.0000","31.2500","32.6500","31.2500"
"2016/11/11","31.0000","1192409.0000","30.8000","31.2000","30.5000"
"2016/11/10","30.7000","1582251.0000","27.6000","31.1000","26.9500"
"2016/11/09","27.2000","1107244.0000","27.4000","28.4000","26.8500"
"2016/11/08","27.0000","2334306.0000","25.4500","27.3000","23.1500"
"2016/11/07","31.0500","415123.0000","31.7000","31.7000","30.7500"
"2016/11/04","30.9000","240352.0000","31.0000","31.4500","30.8000"
"2016/11/03","30.8000","203019.0000","31.1000","31.3000","30.6000"
"2016/11/02","30.9000","195142.0000","31.2000","31.5000","30.8000"
"2016/11/01","31.3000","249196.0000","31.9500","31.9500","30.9750"
"2016/10/31","31.9000","236510.0000","31.7500","32.6000","31.7000"
"2016/10/28","31.8000","192213.0000","31.5500","32.1000","31.3500"
"2016/10/27","31.5000","299112.0000","31.6500","31.9500","30.5500"
"2016/10/26","31.5000","192538.0000","31.5500","32.2000","31.3000"
"2016/10/25","31.7000","268242.0000","31.8000","32.2500","31.3000"
"2016/10/24","32.0000","257594.0000","32.3000","32.4500","31.7000"
"2016/10/21","32.1000","162809.0000","31.7500","32.5250","31.7500"
"2016/10/20","32.0500","261293.0000","32.8500","33.1000","31.9500"
"2016/10/19","33.0000","280608.0000","32.2500","33.5000","32.0500"
"2016/10/18","32.2500","184954.0000","32.6500","32.6500","32.0000"
"2016/10/17","32.3000","235873.0000","32.1000","32.7500","32.0000"
"2016/10/14","32.2000","373393.0000","32.7000","32.8500","31.9000"
"2016/10/13","32.4500","410480.0000","32.8000","33.3000","32.1500"
"2016/10/12","33.1500","301670.0000","33.8000","33.9500","32.9000"
"2016/10/11","33.8000","269837.0000","34.7500","34.7500","33.1000"
"2016/10/10","34.1000","162934.0000","34.1500","35.1000","33.8000"
"2016/10/07","34.2000","217570.0000","34.7500","34.7500","33.7200"
"2016/10/06","34.7200","223072.0000","34.6400","34.8000","34.0800"
"2016/10/05","34.7900","732515.0000","35.2100","35.7303","34.6800"
"2016/10/04","34.9800","479668.0000","34.9700","35.5700","34.8975"
"2016/10/03","34.9400","394901.0000","34.4400","34.9900","33.9800"
"2016/09/30","34.5400","302866.0000","33.8000","34.8100","33.5200"
"2016/09/29","33.5200","283131.0000","33.9900","34.6000","33.3300"
"2016/09/28","33.9900","396141.0000","32.9400","34.0350","32.9300"
"2016/09/27","32.9700","365672.0000","33.0000","33.1900","32.0900"
"2016/09/26","32.9600","308025.0000","33.5500","33.6900","32.9400"
"2016/09/23","33.8900","173852.0000","33.9600","34.5600","33.6800"
"2016/09/22","34.0100","277306.0000","33.9200","34.0995","33.6500"
"2016/09/21","33.7200","398540.0000","33.5900","34.1000","33.1400"
"2016/09/20","33.5900","397143.0000","34.7000","34.9900","33.4400"
"2016/09/19","34.2900","375981.0000","34.0000","34.8700","33.6850"
"2016/09/16","33.7900","742190.0000","33.2700","33.9150","31.0110"
"2016/09/15","33.2700","345090.0000","31.8300","33.2800","31.7600"
"2016/09/14","31.8700","202408.0000","32.2300","32.6200","31.5600"
"2016/09/13","32.2200","191522.0000","32.5500","32.7800","31.7700"
"2016/09/12","32.9500","245231.0000","31.7300","32.9700","31.4900"
"2016/09/09","32.0300","467829.0000","32.5000","32.7500","31.8900"
"2016/09/08","32.8900","446963.0000","32.6300","33.2399","32.0800"
"2016/09/07","32.6500","283602.0000","31.9500","32.6800","31.5200"
"2016/09/06","31.9900","229206.0000","32.1300","32.2000","31.6850"
"2016/09/02","31.9500","322672.0000","31.2000","32.0500","30.4000"
"2016/09/01","30.9600","351981.0000","31.8600","32.1800","30.4500"
"2016/08/31","31.9800","1634252.0000","31.4200","33.6500","31.4200"
"2016/08/30","31.3800","591875.0000","30.1500","31.5200","29.9300"
"2016/08/29","30.2300","131186.0000","29.7500","30.4400","29.6600"
"2016/08/26","29.7500","167117.0000","29.6700","30.1500","29.4300"
"2016/08/25","29.6200","170370.0000","29.2300","29.6500","29.1700"
"2016/08/24","29.3900","143204.0000","29.7800","29.9300","28.7600"
"2016/08/23","29.7100","351343.0000","29.3500","30.5000","29.3500"
"2016/08/22","29.3100","388761.0000","28.6800","30.0900","28.5000"
"2016/08/19","28.8200","221554.0000","28.5400","28.9600","28.1224"
"2016/08/18","28.6900","155492.0000","28.6100","28.7575","28.1600"
"2016/08/17","28.6600","367870.0000","28.5500","28.7200","28.0000"
"2016/08/16","28.6600","314478.0000","28.4700","28.8400","27.9200"
"2016/08/15","28.6400","406536.0000","27.2900","28.8000","27.2500"
"2016/08/12","27.2300","173805.0000","27.1500","27.4700","26.9700"
"2016/08/11","27.1900","230958.0000","27.0400","27.5400","26.7410"
"2016/08/10","27.0400","458754.0000","28.8100","28.9100","26.9400"
"2016/08/09","28.8900","813537.0000","27.6000","29.3700","27.5700"
"2016/08/08","27.4500","438231.0000","27.0000","28.0100","27.0000"
"2016/08/05","27.0400","687080.0000","27.5100","27.6000","26.1150"
"2016/08/04","27.3500","315729.0000","27.3300","27.6300","27.0300"
"2016/08/03","27.4200","316690.0000","27.1900","27.5050","27.0800"
"2016/08/02","27.1500","354249.0000","27.4800","27.6000","26.7250"
"2016/08/01","27.4400","502461.0000","27.7800","27.8990","26.8000"
"2016/07/29","27.8600","398916.0000","28.0000","28.1000","27.5600"
"2016/07/28","28.0400","217589.0000","28.0000","28.3100","27.6150"
"2016/07/27","27.9600","364940.0000","28.1000","28.3000","27.6000"
"2016/07/26","28.0500","363730.0000","27.2700","28.0700","25.8915"
"2016/07/25","27.2000","468574.0000","27.7800","27.7800","26.4700"
"2016/07/22","27.9900","261150.0000","27.8800","28.2300","27.5600"
"2016/07/21","27.9500","272801.0000","28.0000","28.4900","27.8200"
"2016/07/20","28.0600","296982.0000","27.7100","28.4100","27.3000"
"2016/07/19","27.6100","183591.0000","27.6700","27.9600","27.4400"
"2016/07/18","27.7400","219678.0000","27.3500","27.9000","27.1700"
"2016/07/15","27.4500","331353.0000","27.4900","27.6600","26.9400"
"2016/07/14","27.3300","598034.0000","27.1700","27.4700","26.9300"
"2016/07/13","26.9100","472099.0000","26.9400","27.4400","26.5100"
"2016/07/12","26.8300","565286.0000","26.0000","27.3000","25.9800"
"2016/07/11","25.7400","335581.0000","25.3900","25.9650","25.3900"
"2016/07/08","25.2900","384934.0000","24.4100","25.4800","24.2200"
"2016/07/07","24.0800","384789.0000","23.7700","24.9050","23.7700"
"2016/07/06","23.7800","498637.0000","23.2800","24.3000","23.1900"
"2016/07/05","23.2900","687545.0000","24.0500","24.0500","21.9300"
"2016/07/01","24.3000","374907.0000","24.1300","24.7200","23.9000"
"2016/06/30","24.1400","535469.0000","24.0500","24.1500","23.3000"
"2016/06/29","24.0000","640346.0000","23.6400","24.0250","23.3400"
"2016/06/28","23.3600","749704.0000","23.1800","23.8500","23.0200"
"2016/06/27","22.7950","1075229.0000","24.7900","24.9650","22.5100"
"2016/06/24","25.2400","2301646.0000","24.9600","25.3800","24.5100"
"2016/06/23","25.8600","360383.0000","24.6000","25.9300","24.6000"
"2016/06/22","24.3000","295939.0000","24.7600","25.2400","24.3000"
"2016/06/21","24.6000","285397.0000","25.2000","25.4150","24.4200"
"2016/06/20","25.1600","370274.0000","25.3000","25.7200","25.0650"
"2016/06/17","24.9800","856708.0000","24.5400","25.6800","24.2900"
"2016/06/16","24.4600","517550.0000","24.0800","24.6200","23.6870"
"2016/06/15","24.2000","477325.0000","23.8900","25.2700","23.7800"
"2016/06/14","23.6200","574340.0000","23.9400","24.2800","23.3100"
"2016/06/13","24.0000","522286.0000","23.8000","24.3700","23.6608"
"2016/06/10","24.1200","651792.0000","24.5600","24.7400","23.8700"
"2016/06/09","24.7800","863042.0000","26.2700","26.2700","24.5800"
"2016/06/08","26.3800","515908.0000","25.8800","26.5600","25.8150"
"2016/06/07","25.8900","647587.0000","27.3100","27.7100","25.7100"
"2016/06/06","27.4700","824988.0000","26.4600","27.5200","26.1700"
"2016/06/03","26.3300","481335.0000","27.5500","27.5500","26.0800"
"2016/06/02","27.5600","349978.0000","27.0500","27.8000","26.5100"
"2016/06/01","27.1300","508504.0000","27.2700","27.6200","26.9150"
"2016/05/31","27.5100","300198.0000","27.7200","27.8300","27.2150"
"2016/05/27","27.5200","443952.0000","26.6800","27.6000","26.6750"
"2016/05/26","26.5500","452012.0000","27.1700","27.4900","26.5100"
"2016/05/25","27.2000","436595.0000","26.9300","27.4900","26.7900"
"2016/05/24","26.8800","367988.0000","26.7000","27.1300","25.9000"
"2016/05/23","26.4200","294122.0000","26.2000","26.9200","26.1800"
"2016/05/20","26.3600","399389.0000","25.6500","26.4600","25.6100"
"2016/05/19","25.5500","688072.0000","26.4000","26.7900","24.9510"
"2016/05/18","26.5000","619673.0000","26.4800","27.0000","26.2200"
"2016/05/17","26.3200","878376.0000","26.5300","27.4900","26.1800"
"2016/05/16","26.6600","715099.0000","26.0900","27.3300","25.2350"
"2016/05/13","26.1000","929404.0000","25.8200","26.7800","25.6844"
"2016/05/12","25.7300","648242.0000","25.4100","26.0000","25.3305"
"2016/05/11","25.3600","1081798.0000","24.8200","25.9200","24.8100"
"2016/05/10","25.0400","3503467.0000","24.0000","26.0300","23.7600"
"2016/05/09","30.8100","483521.0000","31.3200","31.7900","30.2500"
"2016/05/06","31.5900","325257.0000","30.6100","31.6300","30.5100"
"2016/05/05","30.8000","501759.0000","31.1400","31.6600","30.5500"
"2016/05/04","31.0200","286421.0000","31.3400","31.7700","30.6000"
"2016/05/03","31.5000","317919.0000","31.7400","32.3550","30.4800"
