"date","close","volume","open","high","low"

"2017/05/19","120.9800","2190103.0000","121.0100","121.2100","120.1900"
"2017/05/18","120.4000","1968786.0000","120.8600","121.0300","119.4100"
"2017/05/17","120.4400","2277894.0000","122.2000","123.0700","120.3400"
"2017/05/16","123.1400","2180617.0000","122.6900","123.3100","122.2200"
"2017/05/15","122.2500","1764183.0000","120.9600","122.5400","120.7601"
"2017/05/12","120.9600","2362290.0000","120.3800","121.5000","120.3800"
"2017/05/11","120.8000","1835224.0000","120.7500","120.9000","119.6700"
"2017/05/10","121.2000","1343589.0000","121.0700","121.3700","120.5600"
"2017/05/09","121.0700","1094392.0000","121.3000","121.6300","120.9100"
"2017/05/08","121.1100","1522399.0000","121.1000","121.5200","120.7600"
"2017/05/05","121.5200","1716890.0000","120.9100","121.5200","120.7650"
"2017/05/04","120.8200","1557495.0000","120.7500","120.9900","120.2200"
"2017/05/03","120.3000","1762147.0000","120.4300","120.8700","119.6650"
"2017/05/02","120.6800","2697450.0000","121.2900","121.7100","120.2100"
"2017/05/01","121.2500","1931951.0000","121.3700","121.6900","121.1020"
"2017/04/28","121.3000","2476577.0000","120.1900","121.3500","120.0300"
"2017/04/27","120.4900","2008174.0000","119.1200","120.6200","119.1200"
"2017/04/26","118.9800","1581421.0000","118.7300","119.4600","118.4000"
"2017/04/25","118.6900","1947230.0000","119.3800","119.9400","118.6800"
"2017/04/24","119.3600","2106761.0000","119.9400","120.5100","119.1100"
"2017/04/21","119.2300","2639048.0000","119.7400","119.9800","119.0300"
"2017/04/20","119.2100","3743523.0000","117.6500","119.8600","117.3800"
"2017/04/19","116.9500","2185363.0000","116.3700","117.3600","116.0000"
"2017/04/18","116.2400","1978691.0000","115.5000","116.3600","115.3900"
"2017/04/17","115.7200","1168262.0000","114.8800","115.7300","114.8800"
"2017/04/13","114.8600","1838948.0000","115.3600","115.8900","114.8200"
"2017/04/12","115.5800","2087832.0000","116.0500","116.4000","115.4700"
"2017/04/11","116.0800","2295268.0000","116.1800","116.8000","115.7900"
"2017/04/10","117.8400","2308255.0000","117.5000","118.5600","117.3700"
"2017/04/07","117.4400","2408028.0000","117.0000","117.7400","116.5000"
"2017/04/06","116.8100","2049602.0000","117.6800","117.9300","116.7600"
"2017/04/05","117.6400","1901505.0000","118.2400","119.0900","117.4900"
"2017/04/04","118.0400","1690684.0000","117.2800","118.0700","117.2800"
"2017/04/03","117.6400","3918064.0000","118.0000","118.1700","117.0000"
"2017/03/31","119.8800","2102731.0000","120.7100","121.2100","119.8400"
"2017/03/30","120.5200","2030642.0000","120.8900","121.0000","120.0500"
"2017/03/29","120.9800","2438878.0000","121.6600","121.7100","120.1500"
"2017/03/28","121.3500","5515885.0000","119.8200","122.3400","119.0140"
"2017/03/27","119.3900","3116889.0000","118.7300","119.8000","118.3000"
"2017/03/24","118.9800","3949482.0000","120.7800","121.3100","118.7550"
"2017/03/23","120.7600","7114204.0000","122.7100","123.0100","120.5400"
"2017/03/22","126.4800","4286400.0000","125.0300","126.5300","124.4700"
"2017/03/21","124.6400","3220221.0000","125.0800","125.4100","123.6300"
"2017/03/20","124.3900","2257442.0000","125.2200","125.3900","124.1700"
"2017/03/17","125.2200","4603637.0000","124.7100","125.4500","123.8300"
"2017/03/16","124.1000","2182041.0000","124.8900","125.1900","123.6100"
"2017/03/15","124.8000","2087675.0000","123.4100","124.9900","123.0300"
"2017/03/14","123.9100","1627845.0000","124.1700","124.7300","123.6300"
"2017/03/13","124.0400","2233737.0000","124.2300","124.7500","123.4700"
"2017/03/10","123.9300","1931099.0000","123.6500","124.3300","123.0700"
"2017/03/09","123.1800","2338125.0000","124.3700","124.3700","122.6500"
"2017/03/08","124.4600","2168611.0000","124.1100","124.7900","123.7800"
"2017/03/07","124.1400","2705235.0000","123.6300","124.3800","123.1200"
"2017/03/06","123.2400","1814082.0000","122.9900","123.4300","122.5300"
"2017/03/03","123.6400","2122955.0000","124.2500","124.2500","122.9850"
"2017/03/02","124.3500","1896716.0000","123.9900","124.4300","123.5600"
"2017/03/01","124.0700","1879707.0000","123.2400","124.2900","122.4600"
"2017/02/28","122.5000","1745371.0000","122.7500","123.0900","121.9300"
"2017/02/27","122.7900","1679832.0000","123.0100","123.4300","122.4800"
"2017/02/24","123.4300","1447663.0000","122.0000","123.4300","121.6000"
"2017/02/23","122.4800","1439556.0000","122.5900","122.7050","121.7300"
"2017/02/22","122.2100","1557038.0000","121.6600","122.8800","121.5800"
"2017/02/21","122.1000","2117134.0000","120.6300","122.2200","120.5700"
"2017/02/17","121.2300","1904931.0000","120.5100","121.2900","120.1000"
"2017/02/16","120.7200","1966972.0000","119.9300","120.9900","119.5300"
"2017/02/15","119.9300","1951131.0000","119.6100","120.1650","119.3000"
"2017/02/14","120.0000","2559693.0000","118.4700","120.0000","118.4050"
"2017/02/13","118.5900","1988441.0000","117.9000","118.9500","117.7250"
"2017/02/10","117.6000","2183016.0000","116.7000","118.8400","116.5200"
"2017/02/09","116.9800","2117069.0000","115.5100","117.4600","115.4700"
"2017/02/08","115.4300","2373733.0000","116.1500","116.1500","114.9200"
"2017/02/07","115.9200","2538228.0000","115.0000","116.1700","114.9500"
"2017/02/06","114.1800","2019412.0000","114.0700","115.2200","113.3750"
"2017/02/03","114.4900","1664211.0000","114.0000","114.8300","113.3400"
"2017/02/02","113.6400","2450463.0000","113.1500","113.7700","112.7100"
"2017/02/01","113.2100","2471638.0000","113.8000","114.7690","112.3100"
"2017/01/31","113.8700","2338944.0000","113.9700","114.0178","112.6100"
"2017/01/30","114.6300","2529715.0000","115.3200","115.3300","113.4100"
"2017/01/27","115.3500","2545180.0000","116.2000","116.4350","115.0700"
"2017/01/26","115.9300","2865071.0000","116.9900","117.4400","115.6244"
"2017/01/25","117.5700","2905848.0000","116.9000","118.3600","116.7000"
"2017/01/24","116.4800","2809709.0000","115.2000","116.6400","114.8400"
"2017/01/23","114.8200","2319952.0000","114.7800","115.2700","114.6100"
"2017/01/20","115.0700","2781387.0000","115.8800","116.2500","114.8100"
"2017/01/19","115.5000","1647111.0000","115.6000","116.0000","115.2700"
"2017/01/18","115.9500","2262158.0000","116.5400","116.9500","115.7400"
"2017/01/17","116.0300","2374317.0000","115.9200","116.3600","115.4700"
"2017/01/13","116.9500","2666366.0000","115.3500","117.4400","115.3500"
"2017/01/12","115.7800","2110770.0000","115.6200","115.9650","114.8400"
"2017/01/11","116.1200","2845844.0000","115.4000","116.2600","114.9100"
"2017/01/10","115.0600","2550073.0000","114.9400","115.9900","114.6400"
"2017/01/09","115.0000","2550869.0000","116.1400","116.3465","114.9200"
"2017/01/06","116.3000","4125231.0000","114.9900","116.7400","114.3400"
"2017/01/05","114.9900","3685380.0000","116.9800","117.1400","114.9500"
"2017/01/04","116.7400","2639756.0000","116.9100","117.8000","116.4300"
"2017/01/03","116.4600","2352155.0000","117.3800","117.8100","115.8200"
"2016/12/30","117.1300","1739750.0000","117.5600","117.9500","116.5900"
"2016/12/29","117.0100","1633892.0000","116.9800","117.9800","116.5100"
"2016/12/28","116.6100","1773463.0000","118.0000","118.0000","116.0900"
"2016/12/27","117.5500","1546598.0000","117.3600","118.4800","117.2100"
"2016/12/23","117.4800","1697310.0000","117.4000","118.2100","117.1100"
"2016/12/22","117.7900","2758490.0000","118.0600","118.6300","117.0100"
"2016/12/21","117.9000","6028906.0000","118.5500","119.9800","117.6000"
"2016/12/20","124.1000","3288887.0000","124.0400","124.2700","123.0100"
"2016/12/19","123.6500","2750436.0000","123.2300","124.4400","123.1600"
"2016/12/16","123.0000","4513962.0000","124.5800","125.1600","122.4400"
"2016/12/15","124.5500","1761432.0000","123.4500","125.2800","123.2600"
"2016/12/14","123.6500","2041315.0000","125.2500","125.6500","123.4300"
"2016/12/13","125.4000","2288878.0000","123.8000","125.7200","123.6800"
"2016/12/12","123.6100","1608698.0000","122.8600","123.7900","122.6000"
"2016/12/09","123.3100","2227331.0000","121.3300","123.4550","120.8600"
"2016/12/08","121.7400","1449505.0000","121.6700","122.3900","121.2700"
"2016/12/07","121.5700","2024090.0000","118.6500","121.6500","118.4500"
"2016/12/06","118.4100","1973602.0000","118.1300","118.8900","117.7300"
"2016/12/05","117.7200","2052296.0000","117.8600","118.5800","117.2900"
"2016/12/02","117.2900","1922834.0000","117.6300","118.2500","116.1700"
"2016/12/01","117.6600","2260397.0000","119.5000","120.0500","117.1200"
"2016/11/30","119.4300","2635490.0000","121.0100","121.1400","119.4300"
"2016/11/29","120.9400","1484017.0000","120.7400","121.5250","120.3700"
"2016/11/28","120.7600","2053347.0000","120.5300","121.3900","120.0900"
"2016/11/25","120.7400","783672.0000","119.9000","120.7800","119.5900"
"2016/11/23","119.8200","1966391.0000","119.3600","120.2900","119.0700"
"2016/11/22","119.4800","2251828.0000","119.9200","120.3900","119.3200"
"2016/11/21","119.6800","1694583.0000","118.7000","119.8800","118.4300"
"2016/11/18","118.4300","2123479.0000","118.2500","118.5600","117.8700"
"2016/11/17","118.3700","1313635.0000","117.5000","118.5400","117.2100"
"2016/11/16","117.3200","2146879.0000","116.1900","118.0300","115.7600"
"2016/11/15","115.9900","3119949.0000","117.5500","117.8400","115.3800"
"2016/11/14","117.2500","3622499.0000","119.1700","119.5900","116.2000"
"2016/11/11","119.1800","3201775.0000","119.6600","121.0000","118.7100"
"2016/11/10","120.3300","4357469.0000","117.3400","120.8000","117.2900"
"2016/11/09","117.2100","5797624.0000","115.8800","118.0000","114.6600"
"2016/11/08","119.8100","2118777.0000","119.9000","121.0000","119.5100"
"2016/11/07","119.9700","2311069.0000","118.1100","120.0000","118.1100"
"2016/11/04","117.2300","2068333.0000","117.0400","118.1199","116.4400"
"2016/11/03","116.9500","2086406.0000","118.1300","118.5000","116.6600"
"2016/11/02","118.6100","5361141.0000","116.1400","119.2000","116.0000"
"2016/11/01","116.1400","2444382.0000","116.5000","116.7000","115.4550"
"2016/10/31","116.2400","1877768.0000","115.6300","116.5600","115.4700"
"2016/10/28","115.6700","1656236.0000","115.8500","116.5800","115.0300"
"2016/10/27","115.4600","1870598.0000","115.6500","116.1100","115.2000"
"2016/10/26","115.4500","1830897.0000","114.7900","115.9000","114.5100"
"2016/10/25","115.2700","1456836.0000","115.5400","115.8700","114.9500"
"2016/10/24","115.8000","1539785.0000","116.0200","116.5000","115.4800"
"2016/10/21","115.5900","1978631.0000","115.9500","116.0000","114.9100"
"2016/10/20","116.0500","2247838.0000","116.6000","117.1400","115.9600"
"2016/10/19","116.8200","2263239.0000","116.7100","117.5100","116.1300"
"2016/10/18","117.5300","2472902.0000","117.7000","118.2600","117.3500"
"2016/10/17","116.8500","1904916.0000","118.2500","118.2500","116.7500"
"2016/10/14","118.2500","2508485.0000","118.4600","119.1600","117.8600"
"2016/10/13","118.1100","3102637.0000","117.0800","118.5000","116.0300"
"2016/10/12","117.6200","2366466.0000","117.4100","117.9700","116.7100"
"2016/10/11","116.9700","2708225.0000","117.3800","117.4400","116.2100"
"2016/10/10","117.4600","2157553.0000","116.3800","117.9800","116.3800"
"2016/10/07","116.0000","3034144.0000","118.5200","118.6350","115.9300"
"2016/10/06","118.5200","2504330.0000","118.2100","118.8100","117.6800"
"2016/10/05","118.2100","2875146.0000","118.4900","118.7100","117.5100"
"2016/10/04","118.2400","3973560.0000","121.1800","121.4400","117.7550"
"2016/10/03","120.8600","3667521.0000","121.5900","122.4700","120.6400"
"2016/09/30","122.1700","4815794.0000","121.7800","123.0300","121.7800"
"2016/09/29","121.6400","7642658.0000","120.5600","124.9600","120.3500"
"2016/09/28","116.6500","3640140.0000","115.6800","117.0625","115.3700"
"2016/09/27","116.1300","3125210.0000","113.7500","116.2200","113.7500"
"2016/09/26","113.7300","3224150.0000","112.4500","113.9500","112.4500"
"2016/09/23","113.0900","2265179.0000","110.5100","113.7900","109.5000"
"2016/09/22","113.6600","2596154.0000","111.9800","114.2700","111.9100"
"2016/09/21","111.7000","2431908.0000","111.4900","111.8900","110.7500"
"2016/09/20","110.7000","1995841.0000","111.1800","111.7500","110.7000"
"2016/09/19","110.5000","1785645.0000","110.6100","111.2800","110.1400"
"2016/09/16","109.8800","2604902.0000","110.3300","110.4900","109.1200"
"2016/09/15","110.7200","2905821.0000","109.6400","111.4200","108.8310"
"2016/09/14","109.8000","2328081.0000","110.7500","111.5400","109.2900"
"2016/09/13","110.5300","2483203.0000","111.5800","111.9600","110.1700"
"2016/09/12","112.7600","2370856.0000","110.2200","112.9600","110.1100"
"2016/09/09","110.3900","3282650.0000","111.7100","112.0900","110.3300"
"2016/09/08","112.3000","3078290.0000","114.4300","114.5600","112.2500"
"2016/09/07","115.1200","1485099.0000","115.3700","115.8600","114.9400"
"2016/09/06","115.3600","1479152.0000","115.8300","116.0000","114.8300"
"2016/09/02","115.6600","1539566.0000","115.5000","116.2600","115.2401"
"2016/09/01","115.0600","1572686.0000","114.7500","115.5000","114.0400"
"2016/08/31","115.0000","1999417.0000","114.9300","115.3800","114.4800"
"2016/08/30","115.3500","1319021.0000","114.9800","115.5500","114.7300"
"2016/08/29","114.8500","1367738.0000","115.0800","115.5600","114.3500"
"2016/08/26","115.2000","1419341.0000","115.1700","116.2000","114.5400"
"2016/08/25","115.0400","1869254.0000","114.2400","115.2600","113.6700"
"2016/08/24","114.5700","2266773.0000","115.4700","115.7200","114.2700"
"2016/08/23","115.4800","2385087.0000","113.9400","115.9000","113.6400"
"2016/08/22","113.7600","1459186.0000","112.7300","113.8500","112.3600"
"2016/08/19","113.0500","1519042.0000","112.2100","113.1500","111.7300"
"2016/08/18","112.3500","2406432.0000","112.7400","113.1325","111.9200"
"2016/08/17","112.9300","1566925.0000","113.0900","113.7199","112.4100"
"2016/08/16","112.9800","1998463.0000","113.1000","113.2600","112.3400"
"2016/08/15","113.6000","2284399.0000","113.0000","114.1100","112.7500"
"2016/08/12","113.0300","1414708.0000","113.2000","113.5500","112.6700"
"2016/08/11","113.3900","1297603.0000","113.5300","113.9900","113.3800"
