"date","close","volume","open","high","low"

"2017/05/19","157.0200","4066231.0000","156.1500","158.0500","155.9100"
"2017/05/18","155.7000","6285353.0000","153.6100","156.8900","153.2400"
"2017/05/17","153.2000","8163606.0000","158.0900","158.7800","153.0000"
"2017/05/16","159.4100","3453054.0000","160.5000","161.1800","159.3300"
"2017/05/15","160.0200","4962525.0000","160.2500","161.7800","159.7600"
"2017/05/12","160.8100","5090191.0000","159.1100","160.8400","158.5100"
"2017/05/11","158.5400","5674144.0000","160.3300","160.5200","157.5500"
"2017/05/10","160.2800","6861501.0000","157.8200","161.1000","156.5600"
"2017/05/09","157.4600","3908571.0000","156.1000","157.8500","155.9700"
"2017/05/08","156.3800","4815698.0000","156.5500","157.6400","155.3000"
"2017/05/05","156.6000","5323438.0000","158.5500","158.5900","155.9000"
"2017/05/04","157.2500","5556821.0000","155.5900","157.9000","154.5500"
"2017/05/03","155.5900","3926516.0000","156.2900","156.5400","154.8800"
"2017/05/02","156.4500","5095295.0000","155.7600","156.5000","154.6100"
"2017/05/01","155.3500","9015042.0000","151.9100","157.7000","151.6100"
"2017/04/28","152.2000","6359327.0000","152.7100","152.9700","150.9400"
"2017/04/27","153.0800","7706060.0000","150.6000","153.4900","149.3000"
"2017/04/26","150.1700","9262866.0000","151.5300","152.1500","148.9000"
"2017/04/25","152.1600","20655120.0000","147.4600","153.5200","146.2200"
"2017/04/24","143.8300","4792932.0000","143.6100","144.5000","143.4000"
"2017/04/21","142.8700","6246613.0000","141.3900","143.0300","140.9028"
"2017/04/20","141.1800","7244579.0000","140.3000","141.8000","139.2700"
"2017/04/19","139.7600","12387400.0000","143.3700","144.0000","138.6600"
"2017/04/18","143.3600","19662640.0000","147.3400","147.4000","140.0000"
"2017/04/17","147.2500","15993460.0000","144.4300","147.3200","144.4300"
"2017/04/13","142.9200","3676127.0000","144.2500","144.5500","142.7600"
"2017/04/12","143.8300","4383524.0000","144.8500","145.7400","143.5500"
"2017/04/11","144.3500","4619263.0000","144.2800","144.5400","141.9800"
"2017/04/10","143.8500","5796446.0000","143.0400","144.6500","141.2100"
"2017/04/07","143.1100","3032571.0000","143.7900","143.8900","142.7100"
"2017/04/06","143.7400","3306032.0000","144.0000","144.1400","143.0100"
"2017/04/05","143.6200","4584578.0000","146.1900","146.2500","143.2600"
"2017/04/04","145.5000","4345284.0000","146.8400","147.0900","144.8900"
"2017/04/03","146.9200","4604731.0000","146.7000","148.0050","145.7400"
"2017/03/31","147.8100","3880682.0000","148.0000","148.2250","147.3300"
"2017/03/30","148.0600","4452168.0000","146.8100","148.2900","146.5300"
"2017/03/29","146.4700","3847977.0000","145.5000","147.1800","144.9089"
"2017/03/28","145.1700","4636300.0000","144.1000","146.1100","143.9200"
"2017/03/27","144.0600","4768197.0000","140.8300","144.3900","140.0000"
"2017/03/24","142.0200","3545875.0000","142.3600","142.8000","141.5800"
"2017/03/23","141.8400","3703193.0000","142.1400","142.8900","141.2600"
"2017/03/22","142.6500","6474086.0000","142.5450","143.8000","140.7600"
"2017/03/21","142.4200","7655386.0000","146.7500","147.7000","142.1000"
"2017/03/20","145.8300","3396361.0000","145.4500","146.2500","144.5800"
"2017/03/17","145.1100","6216640.0000","144.0500","145.7600","143.4000"
"2017/03/16","144.3900","5277214.0000","145.5000","146.5000","144.2200"
"2017/03/15","145.2500","5984101.0000","144.2000","145.5200","143.2300"
"2017/03/14","143.1900","4656787.0000","142.9500","143.3100","141.7000"
"2017/03/13","143.5200","4915057.0000","140.9000","143.7100","140.3210"
"2017/03/10","140.8900","3315903.0000","141.3900","141.8000","140.2800"
"2017/03/09","140.5300","2647374.0000","140.0400","141.2400","139.7400"
"2017/03/08","140.3200","4088940.0000","141.4700","142.0600","139.7704"
"2017/03/07","141.4300","4239418.0000","141.9900","142.4000","140.3800"
"2017/03/06","141.9400","7111248.0000","141.0000","142.8400","140.5400"
"2017/03/03","139.1400","5400667.0000","139.6900","140.9100","138.2600"
"2017/03/02","139.5300","6114580.0000","142.1500","142.7000","139.0900"
"2017/03/01","142.6500","4167969.0000","142.8400","143.2600","142.1000"
"2017/02/28","142.1300","3860016.0000","143.3000","143.5700","141.8500"
"2017/02/27","143.4100","3905819.0000","143.1200","143.9200","142.3800"
"2017/02/24","143.2500","3299619.0000","141.8800","143.5600","141.5500"
"2017/02/23","142.7800","4665564.0000","144.4500","144.4900","141.5196"
"2017/02/22","143.8600","3478736.0000","142.9200","144.0000","142.1700"
"2017/02/21","142.6000","3563209.0000","142.9900","143.3800","141.8100"
"2017/02/17","142.2200","4585496.0000","141.7500","142.9000","141.2700"
"2017/02/16","142.0100","2843942.0000","142.4200","142.4400","141.0700"
"2017/02/15","142.2700","5289876.0000","140.7200","142.4300","140.5100"
"2017/02/14","140.8200","8364146.0000","143.2000","144.1100","140.0500"
"2017/02/13","143.2000","4787338.0000","145.1900","145.9500","143.0500"
"2017/02/10","144.8200","5529672.0000","144.6800","145.2992","143.9700"
"2017/02/09","144.1400","4549760.0000","144.9800","145.0900","143.5800"
"2017/02/08","144.7400","6880937.0000","143.5700","145.0700","142.5600"
"2017/02/07","144.0000","8533846.0000","141.4900","144.2800","141.0500"
"2017/02/06","140.9700","3543204.0000","140.0000","141.0000","139.1600"
"2017/02/03","140.2500","3509764.0000","139.5100","140.6400","139.1000"
"2017/02/02","139.2000","3457803.0000","140.6100","141.0400","139.0500"
"2017/02/01","140.7800","6019300.0000","141.2000","142.4100","139.3000"
"2017/01/31","140.7100","4404557.0000","140.5500","141.8300","139.7000"
"2017/01/30","141.2200","8115884.0000","141.7700","141.9670","138.8000"
"2017/01/27","142.4500","8306935.0000","139.4600","142.4900","139.0000"
"2017/01/26","138.9600","6034554.0000","140.4500","141.2100","138.5100"
"2017/01/25","139.5200","7607549.0000","140.8000","141.3900","139.0500"
"2017/01/24","140.1100","7746640.0000","138.1100","140.9300","137.0300"
"2017/01/23","137.3900","7428755.0000","138.6500","139.4900","137.3100"
"2017/01/20","138.6000","9474655.0000","139.3600","140.7900","137.6600"
"2017/01/19","138.4100","23181860.0000","142.0100","143.4600","138.2500"
"2017/01/18","133.2600","15748300.0000","133.2100","133.6500","131.0600"
"2017/01/17","132.8900","12193530.0000","135.0400","135.4000","132.0900"
"2017/01/13","133.7000","10493120.0000","131.1500","133.9300","130.5800"
"2017/01/12","129.1800","5383839.0000","130.6300","130.8500","128.5000"
"2017/01/11","130.5000","5610963.0000","130.9100","131.5000","129.2475"
"2017/01/10","129.8900","5982469.0000","131.2700","132.2200","129.2900"
"2017/01/09","130.9500","5767217.0000","131.4800","131.9900","129.8900"
"2017/01/06","131.0700","10651930.0000","132.0800","133.8800","129.8100"
"2017/01/05","131.8100","9653379.0000","129.2200","132.7500","128.9000"
"2017/01/04","129.4100","7833340.0000","127.4900","130.1700","126.5500"
"2017/01/03","127.4900","9427706.0000","124.9600","128.1900","124.3100"
"2016/12/30","123.8000","4452771.0000","126.2400","126.5700","123.6000"
"2016/12/29","125.3300","3444066.0000","125.9500","126.1400","124.2000"
"2016/12/28","125.8900","4368523.0000","129.0700","129.0700","125.7600"
"2016/12/27","128.3500","5280624.0000","126.2400","129.0500","125.7000"
"2016/12/23","125.5900","2010121.0000","125.6100","126.2800","125.0800"
"2016/12/22","125.5800","4160767.0000","126.8400","127.5000","125.1800"
"2016/12/21","126.5000","6499033.0000","125.5300","127.7372","125.0000"
"2016/12/20","125.1200","3933171.0000","125.4600","126.3000","124.6400"
"2016/12/19","125.4500","4863748.0000","124.3000","126.4400","122.8700"
"2016/12/16","124.2200","7864162.0000","126.3900","126.6800","124.0100"
"2016/12/15","125.0000","7374166.0000","123.4400","127.4300","122.9500"
"2016/12/14","123.4400","6105620.0000","123.4300","124.4000","122.5000"
"2016/12/13","123.7800","5528230.0000","123.5100","125.0900","122.7809"
"2016/12/12","122.8300","3911511.0000","122.8400","124.0300","122.3000"
"2016/12/09","122.8800","4697522.0000","123.7800","124.3000","121.7300"
"2016/12/08","123.2400","8985030.0000","125.4000","126.3500","122.1600"
"2016/12/07","125.3900","8188570.0000","124.4800","125.7500","123.2500"
"2016/12/06","124.5700","11498380.0000","120.1000","124.7900","119.4200"
"2016/12/05","119.1600","7620560.0000","120.7300","120.7500","118.4000"
"2016/12/02","120.8100","8937134.0000","116.7500","120.9800","116.7500"
"2016/12/01","117.2200","8632991.0000","117.5200","118.6800","113.9500"
"2016/11/30","117.0000","7692293.0000","119.0000","120.3700","116.3913"
"2016/11/29","117.5100","7081312.0000","117.3000","119.1800","117.1316"
"2016/11/28","116.9300","5267321.0000","117.0500","117.6200","115.7100"
"2016/11/25","117.4100","1616260.0000","117.6400","118.3900","117.1800"
"2016/11/23","117.6900","4518610.0000","117.7600","118.8900","117.3100"
"2016/11/22","118.0400","7005927.0000","118.3200","119.4600","116.9800"
"2016/11/21","117.9600","7054753.0000","116.2000","118.7200","116.1900"
"2016/11/18","115.2100","6742471.0000","115.7300","116.4200","113.5100"
"2016/11/17","115.0300","6227332.0000","115.1300","116.8100","113.5600"
"2016/11/16","115.1900","5928187.0000","112.9600","116.1200","111.8100"
"2016/11/15","113.5900","7435934.0000","114.5500","116.4100","113.0910"
"2016/11/14","113.3800","9928472.0000","114.7500","115.9000","110.6800"
"2016/11/11","114.7800","11076290.0000","114.9000","116.6300","113.1100"
"2016/11/10","115.4200","19693320.0000","122.7600","122.9700","113.7000"
"2016/11/09","122.1900","7704905.0000","121.8400","123.6500","120.8611"
"2016/11/08","124.3400","4674424.0000","124.1200","125.8100","123.2200"
"2016/11/07","124.5800","5822973.0000","124.2600","125.7500","123.3700"
