"date","close","volume","open","high","low"

"2017/05/19","160.2800","1819070.0000","159.1800","160.5400","158.8400"
"2017/05/18","157.8900","1757696.0000","157.0500","158.7200","155.8400"
"2017/05/17","157.3000","1918533.0000","158.5700","159.7000","157.0600"
"2017/05/16","159.7600","2685201.0000","160.0100","163.1000","159.4800"
"2017/05/15","160.0900","1354045.0000","158.4500","160.1200","158.2447"
"2017/05/12","158.5000","1059707.0000","158.2200","158.9700","157.7500"
"2017/05/11","158.9300","913534.0000","158.3100","159.2600","157.6700"
"2017/05/10","159.2000","1329259.0000","160.0700","160.9100","157.9200"
"2017/05/09","160.0600","1408952.0000","160.0000","160.5400","159.7300"
"2017/05/08","159.6200","1459005.0000","159.5300","159.7950","159.0700"
"2017/05/05","159.4100","1429457.0000","158.1500","159.4300","157.9900"
"2017/05/04","157.8800","1613514.0000","156.9300","157.9000","156.8900"
"2017/05/03","156.8800","1426789.0000","156.0400","157.0000","155.7000"
"2017/05/02","156.1600","2181450.0000","155.3100","156.2500","154.4300"
"2017/05/01","154.0800","1304683.0000","155.7500","155.7600","154.0100"
"2017/04/28","155.2100","1609672.0000","156.8100","156.9600","154.5100"
"2017/04/27","156.2600","1863227.0000","155.8700","158.8660","155.7600"
"2017/04/26","155.2700","2933649.0000","156.3800","156.5900","155.2100"
"2017/04/25","156.0100","1491231.0000","155.6900","156.7400","155.5100"
"2017/04/24","156.0300","1178535.0000","155.6700","156.2350","155.0000"
"2017/04/21","154.0400","1360445.0000","154.4600","155.4900","153.8096"
"2017/04/20","154.0000","1228029.0000","152.9100","154.5320","152.7100"
"2017/04/19","152.8800","1393670.0000","153.1700","153.3800","152.4300"
"2017/04/18","152.8700","1323269.0000","152.9000","153.6300","152.4000"
"2017/04/17","153.2400","1176711.0000","152.0000","153.3200","151.9000"
"2017/04/13","151.7500","1451180.0000","151.0000","152.6400","150.9000"
"2017/04/12","151.3500","1093253.0000","152.0300","152.5500","151.1900"
"2017/04/11","152.0700","1187228.0000","151.2300","152.4499","150.7200"
"2017/04/10","151.2300","1805369.0000","153.0100","153.0100","150.9600"
"2017/04/07","152.9600","3645883.0000","154.6200","155.2000","151.7100"
"2017/04/06","150.7500","2252467.0000","150.1100","150.8800","149.7000"
"2017/04/05","149.9500","1600325.0000","151.4200","152.6400","149.8462"
"2017/04/04","151.4000","1409867.0000","151.7700","152.0500","150.9200"
"2017/04/03","151.7700","1383292.0000","152.5700","152.9000","151.4400"
"2017/03/31","152.5000","1387424.0000","153.0400","153.4300","152.5000"
"2017/03/30","153.1600","1194180.0000","151.8900","153.4200","151.5000"
"2017/03/29","151.9300","950385.0000","151.7300","151.9800","150.8500"
"2017/03/28","152.0700","1201198.0000","150.5800","152.9600","150.2400"
"2017/03/27","151.1500","1680406.0000","150.0800","151.2550","148.6500"
"2017/03/24","151.0200","1897098.0000","152.6400","152.8200","150.8300"
"2017/03/23","153.1600","1348542.0000","154.2600","154.8000","152.9700"
"2017/03/22","154.2900","1246505.0000","154.0300","154.5600","152.9000"
"2017/03/21","153.6000","1301835.0000","156.3500","156.4999","153.4300"
"2017/03/20","155.9200","1468193.0000","157.0800","157.5900","155.7900"
"2017/03/17","156.9700","2208224.0000","154.2000","156.9700","154.0200"
"2017/03/16","153.6600","1816776.0000","154.9700","155.1800","152.8900"
"2017/03/15","154.7300","1500522.0000","154.5600","155.1600","154.0200"
"2017/03/14","154.4000","960682.0000","154.2100","154.7500","153.6971"
"2017/03/13","154.6100","881899.0000","154.0000","154.8335","153.8227"
"2017/03/10","154.3800","1106787.0000","154.8400","155.4400","153.6600"
"2017/03/09","154.1300","1454966.0000","154.3600","154.6800","153.8128"
"2017/03/08","154.1100","1224482.0000","154.6000","155.1400","153.7700"
"2017/03/07","154.4800","1779801.0000","153.1000","154.6105","152.9700"
"2017/03/06","153.3200","1348642.0000","153.4000","153.9000","152.9300"
"2017/03/03","153.7500","2125241.0000","153.8600","154.4200","153.0200"
"2017/03/02","154.3000","4174913.0000","153.8200","154.9800","153.5700"
"2017/03/01","154.5700","2014887.0000","155.8500","156.4000","154.0700"
"2017/02/28","154.1500","2091089.0000","154.9500","155.6500","154.0000"
"2017/02/27","154.8300","1699327.0000","154.0000","156.2000","153.8700"
"2017/02/24","153.4800","1001314.0000","153.2400","153.6600","152.5200"
"2017/02/23","153.2900","2067048.0000","154.2200","154.9300","153.0100"
"2017/02/22","154.0800","1155440.0000","153.7100","154.1800","152.5000"
"2017/02/21","154.0200","1742877.0000","153.1500","154.4750","152.4800"
"2017/02/17","152.8600","1527675.0000","152.3000","152.9400","151.1500"
"2017/02/16","152.3900","1441953.0000","151.7600","152.4950","151.1050"
"2017/02/15","151.9600","1763104.0000","151.5900","152.1800","150.7300"
"2017/02/14","151.3500","1795662.0000","151.8500","152.9300","151.1400"
"2017/02/13","151.8500","1160008.0000","150.7300","152.3400","150.7000"
"2017/02/10","150.0300","1166716.0000","149.2800","150.3307","149.0100"
"2017/02/09","149.2400","1351623.0000","148.3800","149.8890","148.2750"
"2017/02/08","148.1900","1180136.0000","148.3000","148.7300","147.8600"
"2017/02/07","148.1200","1631977.0000","148.2500","148.9888","147.8400"
"2017/02/06","147.5500","1666013.0000","146.8300","148.2500","146.8000"
"2017/02/03","146.8900","1761248.0000","146.5900","147.9200","146.2250"
"2017/02/02","145.5900","1641007.0000","144.6200","146.3700","144.0250"
"2017/02/01","144.8100","1517460.0000","144.5400","146.2100","143.9600"
"2017/01/31","144.1600","1851991.0000","144.9600","145.4600","143.2300"
"2017/01/30","145.5500","1779664.0000","145.2700","146.7675","144.5100"
"2017/01/27","145.8800","3698713.0000","143.6200","149.3000","143.2500"
"2017/01/26","142.9000","4106702.0000","141.8500","146.3200","141.2800"
"2017/01/25","146.8700","1731935.0000","148.5800","148.9800","146.7300"
"2017/01/24","147.9800","1424746.0000","146.0000","148.2200","145.7200"
"2017/01/23","147.0500","1124804.0000","147.2400","147.9300","146.5100"
"2017/01/20","146.9100","1626412.0000","147.2500","147.6800","146.6900"
"2017/01/19","146.9500","1761629.0000","147.8000","148.4400","146.0100"
"2017/01/18","147.0200","1239409.0000","145.5500","147.4200","145.5000"
"2017/01/17","145.1000","1211098.0000","145.4400","145.6200","144.3200"
"2017/01/13","145.9900","1143469.0000","146.0200","146.4100","145.4200"
"2017/01/12","145.6400","1532258.0000","146.7600","146.9700","144.4800"
"2017/01/11","146.2500","1489234.0000","146.9000","147.8500","145.2200"
"2017/01/10","146.6100","1467523.0000","148.1900","148.5899","146.5500"
"2017/01/09","148.1900","2207625.0000","148.2200","148.8700","147.9200"
"2017/01/06","148.2200","1536246.0000","148.3600","148.8100","147.6010"
"2017/01/05","148.1600","2779804.0000","146.9500","149.5000","146.7800"
"2017/01/04","146.6800","3271874.0000","146.2800","148.0000","145.8900"
"2017/01/03","145.2200","2516785.0000","143.3900","145.9500","142.7600"
"2016/12/30","142.0000","1102495.0000","142.6000","142.6316","141.6000"
"2016/12/29","143.3900","1461608.0000","142.2800","143.6672","142.0501"
"2016/12/28","141.8200","1131804.0000","143.0300","143.4800","141.7300"
"2016/12/27","143.0800","1042542.0000","143.7900","144.2000","142.6600"
"2016/12/23","143.3000","893211.0000","142.9600","144.0000","142.1300"
"2016/12/22","143.3100","1370886.0000","142.6000","143.6000","142.1400"
"2016/12/21","142.5600","1495109.0000","144.0000","144.4300","142.5500"
"2016/12/20","143.8200","1707894.0000","143.2200","143.8500","142.4200"
"2016/12/19","142.9800","1479878.0000","142.0510","143.3100","141.1600"
"2016/12/16","141.8200","3256867.0000","142.9800","143.8600","141.4800"
"2016/12/15","142.6200","1633915.0000","142.5800","143.8000","142.4200"
"2016/12/14","142.8400","2276337.0000","142.7600","144.3800","142.3100"
"2016/12/13","142.4100","2273245.0000","143.4800","145.0900","142.0300"
"2016/12/12","143.8100","3348690.0000","142.9500","144.0151","137.7000"
"2016/12/09","146.3000","2080443.0000","145.8100","146.6800","144.9200"
"2016/12/08","146.1600","2616327.0000","148.6600","148.8400","144.9600"
"2016/12/07","148.8900","1829735.0000","149.3000","149.3000","147.8300"
"2016/12/06","149.1200","1358916.0000","148.0400","149.4000","146.7900"
"2016/12/05","149.0700","1356329.0000","150.9000","151.1800","148.9400"
"2016/12/02","149.9200","1133350.0000","149.3600","150.7400","149.1200"
"2016/12/01","149.2400","1594627.0000","149.5000","149.8700","148.0900"
"2016/11/30","149.5400","3176905.0000","151.7400","151.9300","149.3700"
"2016/11/29","150.5400","1985369.0000","148.9700","150.8600","148.9700"
"2016/11/28","148.9000","1350862.0000","148.6200","149.5700","148.3400"
"2016/11/25","148.5500","672649.0000","148.6300","149.4900","148.0400"
"2016/11/23","147.8800","1597223.0000","148.0400","148.6699","146.8600"
"2016/11/22","147.7600","1834388.0000","146.9000","147.9300","146.2700"
"2016/11/21","146.1000","2021714.0000","146.5300","147.2500","145.8600"
"2016/11/18","146.0400","1977336.0000","145.0000","146.2700","144.3600"
"2016/11/17","144.9600","2680390.0000","146.3300","146.4000","144.2600"
"2016/11/16","146.1600","1622551.0000","147.2700","148.3700","145.2100"
"2016/11/15","147.2900","2469901.0000","150.1300","151.1000","146.6600"
"2016/11/14","149.7300","2338701.0000","149.6600","150.7200","148.7900"
"2016/11/11","148.2600","2204505.0000","147.8800","148.3900","146.6100"
"2016/11/10","147.7100","2907913.0000","148.4800","148.9300","145.6000"
"2016/11/09","146.7100","7226360.0000","142.9700","152.5797","142.9700"
"2016/11/08","136.5100","1596606.0000","136.1800","137.3700","136.0700"
"2016/11/07","135.9100","2086491.0000","134.7000","135.9500","134.1000"
"2016/11/04","132.9700","2261546.0000","134.0000","134.8000","132.9100"
"2016/11/03","134.1400","2567315.0000","135.2500","135.3300","132.8900"
