"date","close","volume","open","high","low"

"2017/05/19","87.4000","15731980.0000","90.9500","91.0000","86.4400"
"2017/05/18","87.7500","10054510.0000","87.8800","88.4000","87.1700"
"2017/05/17","87.8400","5616521.0000","89.0600","89.3300","87.5700"
"2017/05/16","89.7500","6415213.0000","90.0100","90.2800","89.4100"
"2017/05/15","89.8000","4041425.0000","89.2700","89.9400","89.0500"
"2017/05/12","89.0400","5585476.0000","87.9700","89.2800","87.5700"
"2017/05/11","87.7100","2698025.0000","87.3800","87.9501","86.5700"
"2017/05/10","87.3100","2920685.0000","87.3800","87.6200","86.8950"
"2017/05/09","87.1300","2885314.0000","87.0300","87.6200","86.9000"
"2017/05/08","86.8600","2150352.0000","86.9300","87.1700","86.6200"
"2017/05/05","86.9700","2595773.0000","86.4400","86.9800","86.2200"
"2017/05/04","86.5200","2140081.0000","86.7500","87.1300","86.2900"
"2017/05/03","86.5500","2786668.0000","86.9700","87.0562","86.1900"
"2017/05/02","87.0900","3491547.0000","86.7900","87.2000","86.1100"
"2017/05/01","86.6600","3287253.0000","86.2500","86.8800","86.2500"
"2017/04/28","86.1200","2918897.0000","85.7800","86.2200","85.2800"
"2017/04/27","85.8500","2941547.0000","85.3800","86.3200","85.2900"
"2017/04/26","84.9500","2159833.0000","84.7500","85.1200","84.3900"
"2017/04/25","84.7500","3012295.0000","84.5700","85.1300","84.3500"
"2017/04/24","84.1700","3193843.0000","84.5100","84.6500","83.7500"
"2017/04/21","83.7900","2945968.0000","84.0100","84.4000","83.6500"
"2017/04/20","84.0500","4012735.0000","83.9500","84.3600","83.4600"
"2017/04/19","83.5000","2840595.0000","84.0800","84.2100","83.3500"
"2017/04/18","83.7100","2498608.0000","84.0000","84.4000","83.5300"
"2017/04/17","84.2000","2960869.0000","83.2500","84.2300","83.0000"
"2017/04/13","83.1300","2591797.0000","83.2000","84.0600","83.1300"
"2017/04/12","83.3700","3098349.0000","83.8300","84.0800","83.2000"
"2017/04/11","83.8600","2536141.0000","84.0700","84.2700","83.3000"
"2017/04/10","84.2400","3401148.0000","84.1300","84.6100","83.8600"
"2017/04/07","84.3800","4875876.0000","84.7000","84.8500","83.8200"
"2017/04/06","85.0000","5010345.0000","85.4200","85.4500","84.3700"
"2017/04/05","85.3400","13286300.0000","83.1900","86.4200","83.0100"
"2017/04/04","82.9700","4441431.0000","82.7400","83.1250","82.5300"
"2017/04/03","82.3100","4224315.0000","82.6100","82.9800","81.5500"
"2017/03/31","82.4900","3172151.0000","82.2700","82.9300","82.1900"
"2017/03/30","82.5600","3480229.0000","82.2500","82.5900","82.0150"
"2017/03/29","82.3800","2873656.0000","82.0400","82.4400","81.6600"
"2017/03/28","82.1400","3215853.0000","81.4400","82.3500","81.3000"
"2017/03/27","81.6100","3397448.0000","81.0000","81.7900","80.5000"
"2017/03/24","81.6100","3701671.0000","81.8800","82.2500","81.2900"
"2017/03/23","81.5200","3046935.0000","82.0000","82.4000","81.4600"
"2017/03/22","81.8800","3055231.0000","81.6900","81.9700","81.1400"
"2017/03/21","81.5500","4205711.0000","83.0000","83.1800","81.3700"
"2017/03/20","82.9000","3428644.0000","83.0300","83.6300","82.8100"
"2017/03/17","83.0300","7827806.0000","83.9400","83.9800","83.0200"
"2017/03/16","83.5200","3761571.0000","83.9500","84.0000","83.2700"
"2017/03/15","83.4800","3071038.0000","83.5600","83.7700","82.9950"
"2017/03/14","83.5100","2932543.0000","83.4200","83.6200","82.7300"
"2017/03/13","83.6100","3463655.0000","83.4700","83.7400","83.0800"
"2017/03/10","83.5100","3927139.0000","83.5600","83.9500","83.2400"
"2017/03/09","83.2800","3645980.0000","83.1900","83.5800","82.8100"
"2017/03/08","83.4800","3733791.0000","82.9600","83.8400","82.9364"
"2017/03/07","82.9700","5423827.0000","83.3600","84.3900","82.8100"
"2017/03/06","82.5000","5297576.0000","81.7600","82.7200","81.6200"
"2017/03/03","82.2200","6219339.0000","82.0000","82.5900","81.6500"
"2017/03/02","82.6700","5884775.0000","83.5600","83.7000","82.3500"
"2017/03/01","83.8100","14311600.0000","82.8700","84.4000","82.1100"
"2017/02/28","81.3500","10403300.0000","81.5000","81.8300","80.6881"
"2017/02/27","81.5400","3285840.0000","81.6300","81.9200","80.9000"
"2017/02/24","81.7800","4432937.0000","81.4100","81.8200","80.9700"
"2017/02/23","82.0700","5593346.0000","82.3300","83.1250","81.8250"
"2017/02/22","82.0800","2731108.0000","82.0000","82.3900","81.7100"
"2017/02/21","82.1800","4324431.0000","81.6800","82.4200","81.2910"
"2017/02/17","81.4700","3674128.0000","80.5700","81.4700","80.2500"
"2017/02/16","80.8200","5234116.0000","81.5200","81.7150","80.5000"
"2017/02/15","81.6700","5270104.0000","81.2300","82.8300","80.8900"
