"date","close","volume","open","high","low"

"2017/05/19","172.5900","3875152.0000","172.3000","172.9500","170.2500"
"2017/05/18","171.4500","3905733.0000","168.2500","173.9800","167.8700"
"2017/05/17","168.8600","4440101.0000","166.9600","170.3900","166.6500"
"2017/05/16","168.1200","4343138.0000","170.6700","171.0000","167.2500"
"2017/05/15","171.5300","2817540.0000","171.7900","172.0000","170.2300"
"2017/05/12","171.8100","2335390.0000","172.6400","173.3900","171.5200"
"2017/05/11","173.3200","1901252.0000","172.7600","173.8560","171.6700"
"2017/05/10","173.3900","1568719.0000","173.0400","173.6400","172.4610"
"2017/05/09","173.2400","1653704.0000","174.1000","174.7700","172.7300"
"2017/05/08","174.4400","2506036.0000","173.9300","174.5600","173.5671"
"2017/05/05","174.1200","2188677.0000","174.5400","174.8800","173.3100"
"2017/05/04","174.0200","2585102.0000","173.0500","174.2100","172.3800"
"2017/05/03","172.5400","3622179.0000","173.7500","174.3000","171.8600"
"2017/05/02","174.1400","4949987.0000","174.9100","175.3684","170.2735"
"2017/05/01","174.5900","2709852.0000","175.0000","176.1400","174.0900"
"2017/04/28","174.8800","2010757.0000","174.6100","175.0000","173.9100"
"2017/04/27","174.6300","2438613.0000","174.0700","176.0700","174.0167"
"2017/04/26","174.3800","2816384.0000","174.0900","175.6500","173.9800"
"2017/04/25","174.0400","3394641.0000","173.5000","174.7400","173.1900"
"2017/04/24","172.3300","2830065.0000","172.6600","173.1600","171.7000"
"2017/04/21","171.1600","2982200.0000","172.1300","172.6200","170.4700"
"2017/04/20","171.5400","3652110.0000","169.5200","172.1900","168.3700"
"2017/04/19","169.2500","4703273.0000","169.5900","171.1900","168.6901"
"2017/04/18","168.5900","5524102.0000","170.0600","170.2300","167.7000"
"2017/04/17","167.1800","4394676.0000","164.9900","167.4200","164.9600"
"2017/04/13","164.9600","1979135.0000","164.9500","165.6500","164.6700"
"2017/04/12","165.5600","2978358.0000","166.3200","166.4200","164.6000"
"2017/04/11","165.8300","3172925.0000","164.8900","165.8400","164.6000"
"2017/04/10","165.4800","3234913.0000","166.1900","167.0000","165.2800"
"2017/04/07","166.0200","2928086.0000","164.9600","166.5000","164.6200"
"2017/04/06","165.3400","2923983.0000","165.4500","166.0200","164.8400"
"2017/04/05","165.3700","3540706.0000","165.7600","167.2600","165.2200"
"2017/04/04","164.9700","2885963.0000","165.8700","166.4500","164.7900"
"2017/04/03","165.5900","3473558.0000","164.6200","166.1400","164.2500"
"2017/03/31","164.0100","3495922.0000","164.6400","165.1000","163.7500"
"2017/03/30","164.9900","2993828.0000","163.6500","165.9300","163.4600"
"2017/03/29","163.4400","5899521.0000","164.6600","164.9700","162.7400"
"2017/03/28","165.3500","7326614.0000","164.5800","166.0700","163.8400"
"2017/03/27","164.6000","4383018.0000","163.9900","165.1100","163.3100"
"2017/03/24","165.0000","5243677.0000","166.2000","167.4000","164.3500"
"2017/03/23","165.2900","3946310.0000","166.2300","166.9300","164.7700"
"2017/03/22","167.0300","2998099.0000","168.1300","168.3800","165.6300"
"2017/03/21","167.7000","4953605.0000","168.6700","168.8200","167.0600"
"2017/03/20","168.0000","3928639.0000","169.9300","170.2400","167.9200"
"2017/03/17","169.7000","5615901.0000","171.0900","171.5400","169.5900"
"2017/03/16","171.3000","3138515.0000","172.0700","172.1400","170.2200"
"2017/03/15","171.7800","2807551.0000","169.3600","171.9700","169.2900"
"2017/03/14","169.0600","2522638.0000","169.6600","170.1800","168.5000"
"2017/03/13","170.2100","2951675.0000","169.9900","170.9300","169.5500"
"2017/03/10","169.9800","3716308.0000","168.4200","170.0000","168.0600"
"2017/03/09","168.0100","3631803.0000","168.1500","169.0700","167.7400"
"2017/03/08","167.9100","2048052.0000","167.6100","168.4600","166.8000"
"2017/03/07","168.3000","2701984.0000","168.4500","169.3600","167.9300"
"2017/03/06","168.7000","2576419.0000","167.4300","169.3500","167.1300"
"2017/03/03","168.2000","2254393.0000","167.3700","168.4500","166.6200"
"2017/03/02","167.3100","1888552.0000","168.3200","168.4300","166.9600"
"2017/03/01","167.9400","3513987.0000","166.7200","168.6000","166.3500"
"2017/02/28","165.3800","4382037.0000","165.4700","166.7600","164.9000"
"2017/02/27","165.3800","4071494.0000","163.1600","165.4600","162.8100"
"2017/02/24","163.0600","2715668.0000","162.6700","163.0900","161.7400"
"2017/02/23","162.6000","2459908.0000","161.3300","162.6000","160.6901"
"2017/02/22","160.5700","2725286.0000","160.9100","161.7800","159.6400"
"2017/02/21","160.5700","5418756.0000","157.6200","160.8150","157.5200"
"2017/02/17","157.6200","11984750.0000","159.0000","160.1600","156.4900"
"2017/02/16","163.6500","3190128.0000","164.7800","164.9700","162.3300"
"2017/02/15","164.2900","4537759.0000","162.5800","164.8900","162.5800"
"2017/02/14","163.1300","2969704.0000","161.4500","163.5000","161.2500"
"2017/02/13","161.9900","3275837.0000","160.6900","162.0200","160.6900"
"2017/02/10","160.7500","1905872.0000","160.1200","161.5900","160.1000"
"2017/02/09","160.4400","3056620.0000","160.3400","161.3000","159.5600"
"2017/02/08","160.3100","2335432.0000","160.0000","160.6300","159.4100"
"2017/02/07","160.5300","2942689.0000","161.0500","161.6800","159.5400"
"2017/02/06","160.5100","3478970.0000","161.5100","162.5300","160.2200"
"2017/02/03","161.8700","2762476.0000","161.1300","162.0000","160.2100"
"2017/02/02","160.7600","4662895.0000","162.5200","163.2500","160.2600"
"2017/02/01","162.7100","3718557.0000","162.7500","163.9000","162.0300"
"2017/01/31","162.1000","3036891.0000","161.6200","162.1900","160.0100"
"2017/01/30","162.0900","2784548.0000","162.9400","163.4600","161.3100"
"2017/01/27","162.9900","3110360.0000","163.5000","163.8000","162.6200"
"2017/01/26","162.7500","4201638.0000","161.8600","163.5800","161.2500"
"2017/01/25","161.2400","3604897.0000","160.8200","161.9800","160.3500"
"2017/01/24","160.4300","3513900.0000","159.3600","161.3100","159.1000"
"2017/01/23","159.0700","4062431.0000","158.6200","159.5200","156.5600"
"2017/01/20","158.6600","3576361.0000","159.0200","159.8000","157.8100"
"2017/01/19","158.7000","4974360.0000","157.7400","160.5500","157.2400"
"2017/01/18","157.7400","6586778.0000","161.0600","161.2000","156.0900"
"2017/01/17","160.6600","5472399.0000","162.6100","162.9700","157.5100"
"2017/01/13","161.8000","3181371.0000","162.1600","162.7390","161.4100"
"2017/01/12","162.3600","2553592.0000","161.6900","162.9400","160.8900"
"2017/01/11","161.8900","3328556.0000","161.3000","162.9400","160.6101"
"2017/01/10","161.5800","3500741.0000","161.2700","162.9800","160.5000"
"2017/01/09","161.9500","3041365.0000","162.0000","162.4300","160.7800"
"2017/01/06","162.4100","3081208.0000","161.7500","162.9400","161.1100"
"2017/01/05","162.1800","2675823.0000","161.7500","162.6300","161.5100"
"2017/01/04","161.9100","2692846.0000","162.3500","162.5800","159.7400"
"2017/01/03","161.4500","3540336.0000","161.1300","162.2700","159.1500"
"2016/12/30","160.0400","2855470.0000","161.3700","161.4800","159.8500"
"2016/12/29","161.0400","2476270.0000","161.9200","162.3600","160.3900"
"2016/12/28","161.4400","1631706.0000","162.1600","163.2500","161.3200"
"2016/12/27","162.6400","1343942.0000","163.2600","163.9600","162.4500"
"2016/12/23","163.0300","2044462.0000","161.5600","163.0400","160.5501"
"2016/12/22","161.5800","2741699.0000","161.3900","161.8800","160.2700"
"2016/12/21","161.3300","2768016.0000","161.4200","162.2900","159.6200"
"2016/12/20","161.5900","3131151.0000","161.7100","163.1100","161.4100"
"2016/12/19","161.5400","4732117.0000","163.0900","163.9400","161.2200"
"2016/12/16","163.9400","7604940.0000","161.3800","164.0000","161.1900"
"2016/12/15","160.6200","4422938.0000","159.8700","161.2900","159.4300"
"2016/12/14","159.8600","3882285.0000","161.1400","161.8000","158.7200"
"2016/12/13","160.5400","3800660.0000","160.4000","161.7099","160.0650"
